id,toxic,severe_toxic,obscene,threat,insult,identity_hate
The_Debtuty,0.38235628021612406,0.009346263065617758,0.12692465982142334,0.004446434960294629,0.12247639543062774,0.014217153373945813
manys,0.059792109047859275,0.007107511842816368,0.028699795053100545,0.0032045993235431483,0.026109463417129566,0.00894028655708921
Yellow-5-Son,0.13316866806761463,0.008480638056466332,0.05600276282602424,0.0036583744953693066,0.061423969380641395,0.013358278062262304
manys,0.06441078043930054,0.007380305642416035,0.03166948893643439,0.0032891866827770566,0.03234667361421964,0.008516475797871572
Yellow-5-Son,0.12879506477710867,0.00768883687001826,0.04615656270891473,0.003829693531601288,0.051738958918896086,0.00912885164767597
manys,0.11497861537064884,0.008587295102286752,0.04682641509637453,0.0036217773194291143,0.059415444067409624,0.011723500117207198
 ,0.09502737067136596,0.009419714281867128,0.039306850845420016,0.0036457084717398443,0.04508275484918994,0.00898746418742148
Yellow-5-Son,0.1791098550931259,0.008732100635239182,0.05501258984549997,0.003677053241230788,0.067885940581181,0.011474957383910009
 ,0.09502737067136596,0.009419714281867128,0.039306850845420016,0.0036457084717398443,0.04508275484918994,0.00898746418742148
Yellow-5-Son,0.1368696664079267,0.007550073017450668,0.04775089287802414,0.003936424840364984,0.04858734035540246,0.008119134052175249
floodmfx,0.17066395276751092,0.010003399639407438,0.05113610883168375,0.003899410494743055,0.06350070610466785,0.010764864950449498
cajolingwilhelm,0.08384123780169073,0.007074918558790599,0.03322902002908895,0.0033365783243154384,0.0370935542364452,0.008997658830991443
NazzerDawk,0.13722643578586427,0.009159802968159195,0.051055652060818975,0.0037397014750189766,0.06808370987842458,0.01967140465191809
Yellow-5-Son,0.08875010351322195,0.0058423744605111665,0.03275523546141538,0.0030295255034082876,0.029938122859495327,0.008956374983561272
NazzerDawk,0.08655937529707794,0.006212356558975084,0.03678122009633515,0.003252748415195429,0.03300469672430509,0.008377456548841056
nokayy,0.08748867397343861,0.007672135933696099,0.03511670724183825,0.003362088848352159,0.03525725815178722,0.010288996689979636
 ,0.07928823137691934,0.009494759806491275,0.036239460944014965,0.003745948810484966,0.04207917195157508,0.015110265611960192
Augenis,0.07891163893607864,0.007977377252501378,0.03407131042602547,0.00352651730760705,0.03926414375165568,0.012316035897131804
Yellow-5-Son,0.13193170391810857,0.007654444706098174,0.036536232762073045,0.0033229083113114877,0.03693411878262622,0.008328325776054489
