id,toxic,severe_toxic,obscene,threat,insult,identity_hate
Emperor_Aurelian,0.1052027436663265,0.008274744519252218,0.045912841995814975,0.0037532422548374198,0.044372209485598044,0.009949333933546519
PaperCutRugBurn,0.08711040681291211,0.005956960683040259,0.030253681492446782,0.003304666172467774,0.029266520448398267,0.007688198698960028
Emperor_Aurelian,0.1842443757451825,0.009065093402344862,0.05328942726998576,0.004454754926557432,0.0681345861976641,0.010467035903600468
PaperCutRugBurn,0.15563008492220753,0.008436298689038292,0.05524009572196667,0.00416825275516534,0.06514207254224576,0.00934548016277273
Emperor_Aurelian,0.20341220021373294,0.010879780030494945,0.08968996764314328,0.0038527057774358055,0.0921555629813123,0.01056063091336181
PaperCutRugBurn,0.2375202490571572,0.007683138099441948,0.07903816755472433,0.004668049820603039,0.08722250445656704,0.01111199151075457
Emperor_Aurelian,0.11173187775753805,0.0077135140245625025,0.053407275197299674,0.004166425464158237,0.04458993282805181,0.009263229954126252
PaperCutRugBurn,0.19179603066143466,0.011318835016218142,0.06589348444028766,0.0039423185251190014,0.06936819617774369,0.013154675862059317
untakenu,0.19932789471010154,0.008064394173109078,0.05774434852645371,0.0045170093783136606,0.06549492740093416,0.010105228727739873
PaperCutRugBurn,0.18312638542517173,0.008403893901711128,0.06081718675404928,0.0034540045107283807,0.0675677801859484,0.00873346553587593
DAM5150,0.15085972584067547,0.006609836173813023,0.05726815008343645,0.003263947470903105,0.04511324603237632,0.00800857476717864
 ,0.0804677007974101,0.008201796652986785,0.03965132938830229,0.004035896972354624,0.04081129163756166,0.010316823933640305
Heathen2176,0.11826018443235373,0.00544780248680302,0.04120365446220052,0.003103591993335444,0.03775242326139099,0.007687999288313338
ZombieBisque,0.5240972583573718,0.020416835019647382,0.31422078135593584,0.004797123422122013,0.1589599977970449,0.015360225915703475
Emperor_Aurelian,0.07021236904667882,0.007153947995344418,0.03767444985929269,0.0033620091353157877,0.03420255825880153,0.009003877839848
ZombieBisque,0.09247801038549398,0.009291679084048411,0.04273962012816006,0.003640851160273545,0.045350006381640745,0.009493245058177032
Emperor_Aurelian,0.12384765037990329,0.011534946473741585,0.052771513957709425,0.004019342819197608,0.06241829911584131,0.011141378150771528
ZombieBisque,0.23930977290608108,0.014565794298094266,0.08303665712156437,0.005661688868188733,0.10089498374372596,0.013219669714846219
dominicanasshit,0.1176216410609847,0.007603132007010966,0.04959174542686281,0.0038234358525484815,0.04423002398075155,0.009756615383415717
Sarugan,0.11893142897176334,0.009588291295478408,0.04762267133571767,0.004305642524098719,0.05655836552118108,0.010580643777972602
dominicanasshit,0.08243735635530568,0.006299453421581279,0.03424035589044504,0.0033418585782402734,0.033420100093784176,0.007235933944570935
Sarugan,0.24304297115936446,0.014326248240544188,0.08524828124263978,0.0059631437678872735,0.11337172119937788,0.01230903421311891
THcB,0.45737769511497006,0.020750324770897274,0.13955491043472396,0.0049258611974241084,0.21682755582127727,0.015901173966588338
redditingatwork31,0.1035709261900666,0.006026514460770305,0.04055743457245024,0.0035837134984282367,0.03708200353894805,0.008359518555360473
LovesMeSomeRedhead,0.08006804840170895,0.005862118202404022,0.03297938581906458,0.003048188179769726,0.03467508217856875,0.007755562033207196
peezle69,0.1078648143657185,0.008204397007594741,0.04377339040987348,0.003944637976558123,0.04119307841827551,0.008941540356665067
Emperor_Aurelian,0.12307702293428403,0.00855988237447417,0.04455171132640911,0.0038150931438927934,0.0434538644342307,0.009907512922494966
peezle69,0.12519306296014224,0.009296487595215997,0.05772889224528798,0.00416610275404092,0.05730277645837718,0.012337356722004464
Emperor_Aurelian,0.07795640111760165,0.008805543498188928,0.03683405716284476,0.0036665761947586393,0.038732961925107855,0.009990836479520716
peezle69,0.08772452781955462,0.007342899239372541,0.03441585430782706,0.0033431408196039785,0.030479211584796186,0.008803097972028322
Emperor_Aurelian,0.15974645378638355,0.009973867404489578,0.07310647646962465,0.004059764626323932,0.062478682495462075,0.011727498807129567
peezle69,0.05648940500351496,0.006280379993882574,0.03126536738764784,0.003236172781108322,0.028544729423271114,0.008188157548141095
Emperor_Aurelian,0.08633284274136269,0.007856827852510148,0.03797904343683062,0.003523684761447656,0.03985162178064544,0.00958135242202012
untakenu,0.26536679031329086,0.01995966870463689,0.19601428195398085,0.004753951261223444,0.10584649408919197,0.01487240753831894
peezle69,0.07127554064071165,0.00872169780097094,0.03399306394228896,0.0034278399287374414,0.033740425479351376,0.009077439382079994
qi1,0.05651832749016228,0.0060048477030443526,0.03314006956973034,0.003300905816961374,0.026908826511702264,0.007018857178526791
FetchingTheSwagni,0.1282516319453631,0.007890850451054797,0.045416718276391814,0.004238759252112492,0.044441563706718645,0.010293629344381444
Verocity8,0.12426229626437373,0.012497540917242266,0.061724914490675305,0.004567351308103366,0.06253677211060298,0.011783627331712563
Ms-Anthrop,0.09020903569376178,0.0063157839762556876,0.04011682136291053,0.0033011625283534936,0.03898540701287838,0.008740703075133638
reluctantclinton,0.06578217756116943,0.007522900989724447,0.03171980551880635,0.003179713795296632,0.03291790917364127,0.009337925789224691
